"Time (EpSec)","x/Magnitude","y/Magnitude","z/Magnitude","Magnitude","DirectionAngle x (deg)","DirectionAngle y (deg)","DirectionAngle z (deg)","Alt (km)","Angle (deg)"
0.000,0.000000,0.000000,0.000000,0.000000,90.000,90.000,0.000,500.000000,19.328
60.000,0.000000,0.000000,0.000000,0.000000,90.000,90.000,0.000,500.092779,23.124
120.000,0.000000,0.000000,0.000000,0.000000,90.000,90.000,0.000,500.369465,26.921
180.000,0.000000,0.000000,0.000000,0.000000,90.000,90.000,0.000,500.825134,30.718
240.000,0.000000,0.000000,0.000000,0.000000,90.000,90.000,0.000,501.451678,34.516
300.000,0.000000,0.000000,0.000000,0.000000,90.000,90.000,0.000,502.237959,38.314
360.000,0.000000,0.000000,0.000000,0.000000,90.000,90.000,0.000,503.170011,42.113
420.000,0.000000,0.000000,0.000000,0.000000,90.000,90.000,0.000,504.231298,45.911
480.000,0.000000,0.000000,0.000000,0.000000,90.000,90.000,0.000,505.403012,49.710
540.000,0.000000,0.000000,0.000000,0.000000,90.000,90.000,0.000,506.664422,53.509
600.000,0.000000,0.000000,0.000000,0.000000,90.000,90.000,0.000,507.993241,57.308
660.000,0.000000,0.000000,0.000000,0.000000,90.000,90.000,0.000,509.366030,61.107
720.000,0.000000,0.000000,0.000000,0.000000,90.000,90.000,0.000,510.758618,64.906
780.000,-0.931589,-0.015735,-0.363172,1.000000,90.000,90.000,0.000,512.146526,68.705
840.000,-0.953608,-0.015735,-0.300639,1.000000,90.000,90.000,0.000,513.505402,72.504
900.000,-0.971435,-0.015734,-0.236784,1.000000,90.000,90.000,0.000,514.811442,76.303
960.000,-0.984991,-0.015734,-0.171888,1.000000,90.000,90.000,0.000,516.041810,80.102
1020.000,-0.994216,-0.015734,-0.106236,1.000000,90.000,90.000,0.000,517.175023,83.901
1080.000,-0.999071,-0.015734,-0.040117,1.000000,90.000,90.000,0.000,518.191329,87.700
1140.000,-0.999533,-0.015733,0.026179,1.000000,90.000,90.000,0.000,519.073033,91.499
1200.000,-0.995601,-0.015733,0.092359,1.000000,90.000,90.000,0.000,519.804804,95.298
1260.000,-0.987292,-0.015733,0.158134,1.000000,90.000,90.000,0.000,520.373930,99.098
1320.000,-0.974642,-0.015732,0.223214,1.000000,90.000,90.000,0.000,520.770535,102.897
1380.000,-0.957707,-0.015732,0.287313,1.000000,90.000,90.000,0.000,520.987738,106.696
1440.000,-0.936562,-0.015732,0.350149,1.000000,90.000,90.000,0.000,521.021772,110.495
1500.000,-0.911299,-0.015732,0.411445,1.000000,90.000,90.000,0.000,520.872049,114.294
1560.000,-0.882029,-0.015731,0.470933,1.000000,90.000,90.000,0.000,520.541164,118.093
1620.000,-0.848881,-0.015731,0.528351,1.000000,90.000,90.000,0.000,520.034856,121.892
1680.000,-0.812000,-0.015731,0.583445,1.000000,90.000,90.000,0.000,519.361909,125.691
1740.000,-0.771550,-0.015730,0.635975,1.000000,90.000,90.000,0.000,518.534010,129.490
1800.000,-0.727707,-0.015730,0.685708,1.000000,90.000,90.000,0.000,517.565549,133.289
1860.000,-0.680664,-0.015730,0.732427,1.000000,90.000,90.000,0.000,516.473379,137.088
1920.000,-0.630629,-0.015730,0.775925,1.000000,90.000,90.000,0.000,515.276527,140.887
1980.000,-0.577821,-0.015729,0.816012,1.000000,90.000,90.000,0.000,513.995879,144.685
2040.000,-0.522472,-0.015729,0.852511,1.000000,90.000,90.000,0.000,512.653815,148.484
2100.000,-0.464826,-0.015729,0.885262,1.000000,90.000,90.000,0.000,511.273828,152.281
2160.000,-0.405136,-0.015728,0.914121,1.000000,90.000,90.000,0.000,509.880116,156.079
2220.000,-0.343665,-0.015728,0.938961,1.000000,90.000,90.000,0.000,508.497161,159.875
2280.000,-0.280683,-0.015728,0.959672,1.000000,90.000,90.000,0.000,507.149299,163.670
2340.000,-0.216466,-0.015727,0.976163,1.000000,90.000,90.000,0.000,505.860288,167.462
2400.000,-0.151298,-0.015727,0.988363,1.000000,90.000,90.000,0.000,504.652890,171.248
2460.000,-0.085464,-0.015727,0.996217,1.000000,90.000,90.000,0.000,503.548456,175.011
2520.000,-0.019255,-0.015726,0.999691,1.000000,90.000,90.000,0.000,502.566548,178.570
2580.000,0.047039,-0.015726,0.998769,1.000000,90.000,90.000,0.000,501.724578,177.157
2640.000,0.113126,-0.015726,0.993456,1.000000,90.000,90.000,0.000,501.037497,173.443
2700.000,0.178716,-0.015725,0.983775,1.000000,90.000,90.000,0.000,500.517515,169.667
2760.000,0.243520,-0.015725,0.969768,1.000000,90.000,90.000,0.000,500.173881,165.878
2820.000,0.307253,-0.015725,0.951498,1.000000,90.000,90.000,0.000,500.012710,162.084
2880.000,0.369635,-0.015724,0.929044,1.000000,90.000,90.000,0.000,500.036871,158.288
2940.000,0.430392,-0.015724,0.902505,1.000000,90.000,90.000,0.000,500.245934,154.491
3000.000,0.489256,-0.015724,0.871998,1.000000,90.000,90.000,0.000,500.636178,150.694
3060.000,0.545970,-0.015723,0.837657,1.000000,90.000,90.000,0.000,501.200659,146.896
3120.000,0.600282,-0.015723,0.799634,1.000000,90.000,90.000,0.000,501.929339,143.097
3180.000,0.651956,-0.015723,0.758094,1.000000,90.000,90.000,0.000,502.809269,139.298
3240.000,0.700762,-0.015722,0.713222,1.000000,90.000,90.000,0.000,503.824832,135.499
3300.000,0.746488,-0.015722,0.665213,1.000000,90.000,90.000,0.000,504.958023,131.700
3360.000,0.788931,-0.015722,0.614280,1.000000,90.000,90.000,0.000,506.188779,127.901
3420.000,0.827906,-0.015721,0.560647,1.000000,90.000,90.000,0.000,507.495344,124.102
